#{"t_start": 1741058353.8634942, "env_id": null}
r,l,t
0.0,600,22.067123
0.0,600,41.079906
0.0,600,61.476312
1.0,800,88.611788
0.0,600,109.275132
0.0,600,129.370622
1.0,800,156.301145
0.0,600,176.346794
0.0,600,195.889082
0.0,600,217.054243
0.0,600,237.784903
0.0,600,258.025198
0.0,600,279.581885
1.0,800,306.443761
0.0,600,325.85693
0.0,600,344.910565
0.0,600,366.498492
0.0,600,386.258263
0.0,600,406.091077
1.0,800,433.770129
0.0,600,453.418943
0.0,600,475.157598
1.0,800,503.552711
1.0,800,528.584554
0.0,600,547.756227
0.0,600,569.560037
0.0,600,589.046382
0.0,600,608.222458
0.0,600,629.496412
1.0,800,656.353364
0.0,600,676.66507
1.0,800,703.121962
0.0,600,723.258496
0.0,600,742.619312
0.0,600,764.631948
0.0,600,784.797054
0.0,600,804.914411
1.0,800,832.129756
0.0,600,852.401237
0.0,600,871.736617
0.0,600,891.815948
0.0,600,912.920594
0.0,600,931.785105
0.0,600,950.796538
0.0,396,966.031665
